"","year","player_name","ranking","top_10","wins","score_average","rounds","bounce_back","driving_accuracy","driving_distance","par5_SA","gir","hole_proximity","putts_round","scramble","sg_t2g","sg_total"
"352",2019,"Jason Kokrak","23",4,1,70.671,57,23.36,62.17,305.7,4.52,69.24,"2,146.917",28.87,55.52,0.672,1.243
"353",2016,"Jhonattan Vegas","84",1,0,71.003,48,17.93,58.23,304.8,4.61,65.63,"1,398.000",29,54.88,0.102,-0.035
"354",2017,"Jhonattan Vegas","84",1,0,71.003,48,17.93,58.23,304.8,4.61,65.63,"1,398.000",29,54.88,0.102,-0.035
"355",2018,"Jhonattan Vegas","84",1,0,71.003,48,17.93,58.23,304.8,4.61,65.63,"1,398.000",29,54.88,0.102,-0.035
"356",2019,"Jhonattan Vegas","84",1,0,71.003,48,17.93,58.23,304.8,4.61,65.63,"1,398.000",29,54.88,0.102,-0.035
"357",2016,"Jim Herman","184",0,0,72.235,40,20.14,62.77,292.9,4.71,65.69,"1,749.667",30.1,52.23,-0.302,-0.908
"358",2017,"Jim Herman","184",0,0,72.235,40,20.14,62.77,292.9,4.71,65.69,"1,749.667",30.1,52.23,-0.302,-0.908
"359",2018,"Jim Herman","184",0,0,72.235,40,20.14,62.77,292.9,4.71,65.69,"1,749.667",30.1,52.23,-0.302,-0.908
"360",2019,"Jim Herman","184",0,0,72.235,40,20.14,62.77,292.9,4.71,65.69,"1,749.667",30.1,52.23,-0.302,-0.908
"361",2016,"Jimmy Walker","200",0,0,72.816,40,16.23,41.58,298.9,4.81,57.64,"1,788.167",28.75,49.84,-1.902,-1.481
"362",2017,"Jimmy Walker","200",0,0,72.816,40,16.23,41.58,298.9,4.81,57.64,"1,788.167",28.75,49.84,-1.902,-1.481
"363",2018,"Jimmy Walker","200",0,0,72.816,40,16.23,41.58,298.9,4.81,57.64,"1,788.167",28.75,49.84,-1.902,-1.481
"364",2019,"Jimmy Walker","200",0,0,72.816,40,16.23,41.58,298.9,4.81,57.64,"1,788.167",28.75,49.84,-1.902,-1.481
"365",2016,"Joaquin Niemann","6",3,0,69.867,55,29.03,60.71,312.9,4.51,71.15,"2,098.833",28.94,60.37,1.132,1.568
"366",2017,"Joaquin Niemann","6",3,0,69.867,55,29.03,60.71,312.9,4.51,71.15,"2,098.833",28.94,60.37,1.132,1.568
