"","year","player_name","ranking","top_10","wins","score_average","rounds","bounce_back","driving_accuracy","driving_distance","par5_SA","gir","hole_proximity","putts_round","scramble","sg_t2g","sg_total"
"501",2016,"Mark Anderson","T189",0,0,71.991,36,14.94,59.72,284.7,4.65,68.06,"509.833",29.44,60.39,-0.322,-0.571
"502",2017,"Mark Anderson","T189",0,0,71.991,36,14.94,59.72,284.7,4.65,68.06,"509.833",29.44,60.39,-0.322,-0.571
"503",2018,"Mark Anderson","T189",0,0,71.991,36,14.94,59.72,284.7,4.65,68.06,"509.833",29.44,60.39,-0.322,-0.571
"504",2019,"Mark Anderson","T189",0,0,71.991,36,14.94,59.72,284.7,4.65,68.06,"509.833",29.44,60.39,-0.322,-0.571
"505",2016,"Mark Hubbard","143",0,0,71.355,56,23.68,65.98,279,4.63,63.29,"2,525.750",28.52,59.46,-0.153,-0.035
"506",2017,"Mark Hubbard","143",0,0,71.355,56,23.68,65.98,279,4.63,63.29,"2,525.750",28.52,59.46,-0.153,-0.035
"507",2018,"Mark Hubbard","143",0,0,71.355,56,23.68,65.98,279,4.63,63.29,"2,525.750",28.52,59.46,-0.153,-0.035
"508",2019,"Mark Hubbard","143",0,0,71.355,56,23.68,65.98,279,4.63,63.29,"2,525.750",28.52,59.46,-0.153,-0.035
"509",2016,"Martin Laird","73",1,1,71.651,50,22.22,68.09,296.7,4.62,70.67,"1,807.917",29.94,57.95,0.395,0.148
"510",2017,"Martin Laird","73",1,1,71.651,50,22.22,68.09,296.7,4.62,70.67,"1,807.917",29.94,57.95,0.395,0.148
"511",2018,"Martin Laird","73",1,1,71.651,50,22.22,68.09,296.7,4.62,70.67,"1,807.917",29.94,57.95,0.395,0.148
"512",2019,"Martin Laird","73",1,1,71.651,50,22.22,68.09,296.7,4.62,70.67,"1,807.917",29.94,57.95,0.395,0.148
"513",2016,"Martin Trainer","194",0,0,73.59,39,20.78,47.43,303.3,4.72,54.7,"1,704.083",28.26,52.83,-2.248,-2.17
"514",2017,"Martin Trainer","194",0,0,73.59,39,20.78,47.43,303.3,4.72,54.7,"1,704.083",28.26,52.83,-2.248,-2.17
"515",2018,"Martin Trainer","194",0,0,73.59,39,20.78,47.43,303.3,4.72,54.7,"1,704.083",28.26,52.83,-2.248,-2.17
"516",2019,"Martin Trainer","194",0,0,73.59,39,20.78,47.43,303.3,4.72,54.7,"1,704.083",28.26,52.83,-2.248,-2.17
"517",2016,"Matt Every","216",0,0,74.511,27,16.81,52.65,288.5,4.91,54.73,"892.250",28.85,54.09,-2.148,-2.179
"518",2017,"Matt Every","216",0,0,74.511,27,16.81,52.65,288.5,4.91,54.73,"892.250",28.85,54.09,-2.148,-2.179
"519",2018,"Matt Every","216",0,0,74.511,27,16.81,52.65,288.5,4.91,54.73,"892.250",28.85,54.09,-2.148,-2.179
"520",2019,"Matt Every","216",0,0,74.511,27,16.81,52.65,288.5,4.91,54.73,"892.250",28.85,54.09,-2.148,-2.179
"521",2016,"Matt Fitzpatrick","46",4,0,70.381,43,27,68.53,289.5,4.61,66.25,"1,727.333",28.55,59.26,0.906,1.603
"522",2017,"Matt Fitzpatrick","46",4,0,70.381,43,27,68.53,289.5,4.61,66.25,"1,727.333",28.55,59.26,0.906,1.603
"523",2018,"Matt Fitzpatrick","46",4,0,70.381,43,27,68.53,289.5,4.61,66.25,"1,727.333",28.55,59.26,0.906,1.603
"524",2019,"Matt Fitzpatrick","46",4,0,70.381,43,27,68.53,289.5,4.61,66.25,"1,727.333",28.55,59.26,0.906,1.603
"525",2016,"Matt Jones","45",3,1,70.253,64,18.67,56.28,304.2,4.57,67.1,"2,194.000",28.47,64.38,0.342,0.823
"526",2017,"Matt Jones","45",3,1,70.253,64,18.67,56.28,304.2,4.57,67.1,"2,194.000",28.47,64.38,0.342,0.823
"527",2018,"Matt Jones","45",3,1,70.253,64,18.67,56.28,304.2,4.57,67.1,"2,194.000",28.47,64.38,0.342,0.823
"528",2019,"Matt Jones","45",3,1,70.253,64,18.67,56.28,304.2,4.57,67.1,"2,194.000",28.47,64.38,0.342,0.823
"529",2016,"Matt Kuchar","68",1,0,71.35,51,23.97,67.48,287.4,4.65,65.28,"2,319.417",28.73,57.45,-0.149,0.026
"530",2017,"Matt Kuchar","68",1,0,71.35,51,23.97,67.48,287.4,4.65,65.28,"2,319.417",28.73,57.45,-0.149,0.026
"531",2018,"Matt Kuchar","68",1,0,71.35,51,23.97,67.48,287.4,4.65,65.28,"2,319.417",28.73,57.45,-0.149,0.026
"532",2019,"Matt Kuchar","68",1,0,71.35,51,23.97,67.48,287.4,4.65,65.28,"2,319.417",28.73,57.45,-0.149,0.026
"533",2016,"Matt Wallace","74",1,0,70.638,39,21.15,58.13,297.3,4.41,63.89,"1,242.083",28.19,56.41,0.749,1.343
"534",2017,"Matt Wallace","74",1,0,70.638,39,21.15,58.13,297.3,4.41,63.89,"1,242.083",28.19,56.41,0.749,1.343
"535",2018,"Matt Wallace","74",1,0,70.638,39,21.15,58.13,297.3,4.41,63.89,"1,242.083",28.19,56.41,0.749,1.343
"536",2019,"Matt Wallace","74",1,0,70.638,39,21.15,58.13,297.3,4.41,63.89,"1,242.083",28.19,56.41,0.749,1.343
"537",2016,"Matthew NeSmith","57",2,0,70.858,58,21.02,65.68,297.4,4.48,73.08,"2,154.750",29.97,54.09,0.889,0.617
"538",2017,"Matthew NeSmith","57",2,0,70.858,58,21.02,65.68,297.4,4.48,73.08,"2,154.750",29.97,54.09,0.889,0.617
"539",2018,"Matthew NeSmith","57",2,0,70.858,58,21.02,65.68,297.4,4.48,73.08,"2,154.750",29.97,54.09,0.889,0.617
"540",2019,"Matthew NeSmith","57",2,0,70.858,58,21.02,65.68,297.4,4.48,73.08,"2,154.750",29.97,54.09,0.889,0.617
"541",2016,"Matthew Wolff","81",2,0,71.806,38,20.66,49.79,312.9,4.56,63.81,"1,730.417",28.63,50.44,-0.724,-0.402
"542",2017,"Matthew Wolff","81",2,0,71.806,38,20.66,49.79,312.9,4.56,63.81,"1,730.417",28.63,50.44,-0.724,-0.402
"543",2018,"Matthew Wolff","81",2,0,71.806,38,20.66,49.79,312.9,4.56,63.81,"1,730.417",28.63,50.44,-0.724,-0.402
"544",2019,"Matthew Wolff","81",2,0,71.806,38,20.66,49.79,312.9,4.56,63.81,"1,730.417",28.63,50.44,-0.724,-0.402
"545",2016,"Maverick McNealy","58",2,0,71.034,48,24.8,57.04,297.4,4.57,64.58,"1,753.500",28,61.44,-0.288,-0.129
"546",2017,"Maverick McNealy","58",2,0,71.034,48,24.8,57.04,297.4,4.57,64.58,"1,753.500",28,61.44,-0.288,-0.129
"547",2018,"Maverick McNealy","58",2,0,71.034,48,24.8,57.04,297.4,4.57,64.58,"1,753.500",28,61.44,-0.288,-0.129
"548",2019,"Maverick McNealy","58",2,0,71.034,48,24.8,57.04,297.4,4.57,64.58,"1,753.500",28,61.44,-0.288,-0.129
"549",2016,"Max Homa","27",3,1,70.508,57,33.33,57.71,303.1,4.46,64.09,"1,992.833",27.83,60.74,0.63,0.755
"550",2017,"Max Homa","27",3,1,70.508,57,33.33,57.71,303.1,4.46,64.09,"1,992.833",27.83,60.74,0.63,0.755
"551",2018,"Max Homa","27",3,1,70.508,57,33.33,57.71,303.1,4.46,64.09,"1,992.833",27.83,60.74,0.63,0.755
"552",2019,"Max Homa","27",3,1,70.508,57,33.33,57.71,303.1,4.46,64.09,"1,992.833",27.83,60.74,0.63,0.755
"553",2016,"Michael Gellerman","183",0,0,73.53,25,17.11,63.14,290.4,4.85,66.44,"439.667",29.88,57.62,-1.995,-2.058
"554",2017,"Michael Gellerman","183",0,0,73.53,25,17.11,63.14,290.4,4.85,66.44,"439.667",29.88,57.62,-1.995,-2.058
"555",2018,"Michael Gellerman","183",0,0,73.53,25,17.11,63.14,290.4,4.85,66.44,"439.667",29.88,57.62,-1.995,-2.058
"556",2019,"Michael Gellerman","183",0,0,73.53,25,17.11,63.14,290.4,4.85,66.44,"439.667",29.88,57.62,-1.995,-2.058
"557",2016,"Michael Gligic","149",1,0,72.03,48,25.95,57.59,301.6,4.52,65.63,"1,477.167",28.96,59.6,-0.948,-0.738
"558",2017,"Michael Gligic","149",1,0,72.03,48,25.95,57.59,301.6,4.52,65.63,"1,477.167",28.96,59.6,-0.948,-0.738
"559",2018,"Michael Gligic","149",1,0,72.03,48,25.95,57.59,301.6,4.52,65.63,"1,477.167",28.96,59.6,-0.948,-0.738
"560",2019,"Michael Gligic","149",1,0,72.03,48,25.95,57.59,301.6,4.52,65.63,"1,477.167",28.96,59.6,-0.948,-0.738
"561",2016,"Michael Kim","205",0,0,72.652,45,20,51.27,291,4.55,61.23,"1,425.000",28.87,58.6,-0.805,-0.784
"562",2017,"Michael Kim","205",0,0,72.652,45,20,51.27,291,4.55,61.23,"1,425.000",28.87,58.6,-0.805,-0.784
"563",2018,"Michael Kim","205",0,0,72.652,45,20,51.27,291,4.55,61.23,"1,425.000",28.87,58.6,-0.805,-0.784
"564",2019,"Michael Kim","205",0,0,72.652,45,20,51.27,291,4.55,61.23,"1,425.000",28.87,58.6,-0.805,-0.784
"565",2016,"Michael Thompson","90",1,0,71.238,54,18.95,68.35,289.5,4.64,64.92,"2,584.083",28.69,60.41,-0.082,0.016
"566",2017,"Michael Thompson","90",1,0,71.238,54,18.95,68.35,289.5,4.64,64.92,"2,584.083",28.69,60.41,-0.082,0.016
"567",2018,"Michael Thompson","90",1,0,71.238,54,18.95,68.35,289.5,4.64,64.92,"2,584.083",28.69,60.41,-0.082,0.016
"568",2019,"Michael Thompson","90",1,0,71.238,54,18.95,68.35,289.5,4.64,64.92,"2,584.083",28.69,60.41,-0.082,0.016
"569",2016,"Nate Lashley","T130",2,0,71.245,56,14.29,60.9,292.8,4.62,65.38,"1,683.667",28.95,61.89,-0.289,-0.198
"570",2017,"Nate Lashley","T130",2,0,71.245,56,14.29,60.9,292.8,4.62,65.38,"1,683.667",28.95,61.89,-0.289,-0.198
"571",2018,"Nate Lashley","T130",2,0,71.245,56,14.29,60.9,292.8,4.62,65.38,"1,683.667",28.95,61.89,-0.289,-0.198
"572",2019,"Nate Lashley","T130",2,0,71.245,56,14.29,60.9,292.8,4.62,65.38,"1,683.667",28.95,61.89,-0.289,-0.198
"573",2016,"Nelson Ledesma","172",0,0,71.95,28,20,54.34,292.2,4.47,63.89,"842.750",28.5,60.44,-0.374,-0.064
"574",2017,"Nelson Ledesma","172",0,0,71.95,28,20,54.34,292.2,4.47,63.89,"842.750",28.5,60.44,-0.374,-0.064
"575",2018,"Nelson Ledesma","172",0,0,71.95,28,20,54.34,292.2,4.47,63.89,"842.750",28.5,60.44,-0.374,-0.064
"576",2019,"Nelson Ledesma","172",0,0,71.95,28,20,54.34,292.2,4.47,63.89,"842.750",28.5,60.44,-0.374,-0.064
"577",2016,"Nick Taylor","T93",0,0,71.76,56,33.33,63.01,294.3,4.63,65.28,"2,611.583",28.66,62,-0.251,-0.293
"578",2017,"Nick Taylor","T93",0,0,71.76,56,33.33,63.01,294.3,4.63,65.28,"2,611.583",28.66,62,-0.251,-0.293
"579",2018,"Nick Taylor","T93",0,0,71.76,56,33.33,63.01,294.3,4.63,65.28,"2,611.583",28.66,62,-0.251,-0.293
"580",2019,"Nick Taylor","T93",0,0,71.76,56,33.33,63.01,294.3,4.63,65.28,"2,611.583",28.66,62,-0.251,-0.293
"581",2016,"Nick Watney","206",0,0,72.915,34,10.1,47.06,301.1,4.66,61.76,"973.083",28.56,63.25,-0.681,-1.327
"582",2017,"Nick Watney","206",0,0,72.915,34,10.1,47.06,301.1,4.66,61.76,"973.083",28.56,63.25,-0.681,-1.327
"583",2018,"Nick Watney","206",0,0,72.915,34,10.1,47.06,301.1,4.66,61.76,"973.083",28.56,63.25,-0.681,-1.327
"584",2019,"Nick Watney","206",0,0,72.915,34,10.1,47.06,301.1,4.66,61.76,"973.083",28.56,63.25,-0.681,-1.327
"585",2016,"Padraig Harrington","195",0,0,71.786,30,16.33,55.05,300.4,4.63,60.19,"1,039.917",28.9,56.28,-0.612,-0.934
"586",2017,"Padraig Harrington","195",0,0,71.786,30,16.33,55.05,300.4,4.63,60.19,"1,039.917",28.9,56.28,-0.612,-0.934
"587",2018,"Padraig Harrington","195",0,0,71.786,30,16.33,55.05,300.4,4.63,60.19,"1,039.917",28.9,56.28,-0.612,-0.934
"588",2019,"Padraig Harrington","195",0,0,71.786,30,16.33,55.05,300.4,4.63,60.19,"1,039.917",28.9,56.28,-0.612,-0.934
"589",2016,"Pat Perez","103",1,0,71.167,64,27.16,58.84,295,4.58,64.58,"1,884.333",28.53,63.73,-0.18,0.21
"590",2017,"Pat Perez","103",1,0,71.167,64,27.16,58.84,295,4.58,64.58,"1,884.333",28.53,63.73,-0.18,0.21
"591",2018,"Pat Perez","103",1,0,71.167,64,27.16,58.84,295,4.58,64.58,"1,884.333",28.53,63.73,-0.18,0.21
"592",2019,"Pat Perez","103",1,0,71.167,64,27.16,58.84,295,4.58,64.58,"1,884.333",28.53,63.73,-0.18,0.21
"593",2016,"Patrick Cantlay","8",4,1,70.357,49,20,61.49,301.8,4.46,68.72,"1,665.667",28.11,68.34,0.984,1.555
"594",2017,"Patrick Cantlay","8",4,1,70.357,49,20,61.49,301.8,4.46,68.72,"1,665.667",28.11,68.34,0.984,1.555
"595",2018,"Patrick Cantlay","8",4,1,70.357,49,20,61.49,301.8,4.46,68.72,"1,665.667",28.11,68.34,0.984,1.555
"596",2019,"Patrick Cantlay","8",4,1,70.357,49,20,61.49,301.8,4.46,68.72,"1,665.667",28.11,68.34,0.984,1.555
"597",2016,"Patrick Reed","21",4,1,70.23,39,30.69,64.68,288.8,4.53,64.2,"1,334.917",27.69,57.76,0.505,1.607
"598",2017,"Patrick Reed","21",4,1,70.23,39,30.69,64.68,288.8,4.53,64.2,"1,334.917",27.69,57.76,0.505,1.607
"599",2018,"Patrick Reed","21",4,1,70.23,39,30.69,64.68,288.8,4.53,64.2,"1,334.917",27.69,57.76,0.505,1.607
"600",2019,"Patrick Reed","21",4,1,70.23,39,30.69,64.68,288.8,4.53,64.2,"1,334.917",27.69,57.76,0.505,1.607
"601",2016,"Patrick Rodgers","T135",0,0,71.457,58,19.08,50.12,306,4.59,66.28,"1,926.417",29.19,55.11,-0.538,-0.387
"602",2017,"Patrick Rodgers","T135",0,0,71.457,58,19.08,50.12,306,4.59,66.28,"1,926.417",29.19,55.11,-0.538,-0.387
"603",2018,"Patrick Rodgers","T135",0,0,71.457,58,19.08,50.12,306,4.59,66.28,"1,926.417",29.19,55.11,-0.538,-0.387
"604",2019,"Patrick Rodgers","T135",0,0,71.457,58,19.08,50.12,306,4.59,66.28,"1,926.417",29.19,55.11,-0.538,-0.387
"605",2016,"Patton Kizzire","25",3,0,70.542,58,25.17,57.8,301.2,4.55,69.64,"1,886.167",28.53,57.41,0.15,0.624
"606",2017,"Patton Kizzire","25",3,0,70.542,58,25.17,57.8,301.2,4.55,69.64,"1,886.167",28.53,57.41,0.15,0.624
"607",2018,"Patton Kizzire","25",3,0,70.542,58,25.17,57.8,301.2,4.55,69.64,"1,886.167",28.53,57.41,0.15,0.624
"608",2019,"Patton Kizzire","25",3,0,70.542,58,25.17,57.8,301.2,4.55,69.64,"1,886.167",28.53,57.41,0.15,0.624
"609",2016,"Paul Casey","42",4,0,70.678,43,19.19,62.41,302.8,4.63,67.78,"1,290.917",29.05,62.5,0.962,1.171
"610",2017,"Paul Casey","42",4,0,70.678,43,19.19,62.41,302.8,4.63,67.78,"1,290.917",29.05,62.5,0.962,1.171
"611",2018,"Paul Casey","42",4,0,70.678,43,19.19,62.41,302.8,4.63,67.78,"1,290.917",29.05,62.5,0.962,1.171
"612",2019,"Paul Casey","42",4,0,70.678,43,19.19,62.41,302.8,4.63,67.78,"1,290.917",29.05,62.5,0.962,1.171
"613",2016,"Peter Malnati","T71",3,0,71.094,52,22.37,57.28,290.8,4.54,63.14,"1,880.750",27.69,57.97,-0.088,0.369
"614",2017,"Peter Malnati","T71",3,0,71.094,52,22.37,57.28,290.8,4.54,63.14,"1,880.750",27.69,57.97,-0.088,0.369
"615",2018,"Peter Malnati","T71",3,0,71.094,52,22.37,57.28,290.8,4.54,63.14,"1,880.750",27.69,57.97,-0.088,0.369
"616",2019,"Peter Malnati","T71",3,0,71.094,52,22.37,57.28,290.8,4.54,63.14,"1,880.750",27.69,57.97,-0.088,0.369
"617",2016,"Peter Uihlein","105",1,0,71.479,24,22.06,46.43,292.5,4.64,58.1,"595.000",26.83,65.19,0.572,0.174
"618",2017,"Peter Uihlein","105",1,0,71.479,24,22.06,46.43,292.5,4.64,58.1,"595.000",26.83,65.19,0.572,0.174
"619",2018,"Peter Uihlein","105",1,0,71.479,24,22.06,46.43,292.5,4.64,58.1,"595.000",26.83,65.19,0.572,0.174
"620",2019,"Peter Uihlein","105",1,0,71.479,24,22.06,46.43,292.5,4.64,58.1,"595.000",26.83,65.19,0.572,0.174
"621",2016,"Phil Mickelson","203",0,0,72.284,38,25,50.19,300.8,4.83,65.64,"1,390.833",29.79,53.62,-0.686,-0.741
"622",2017,"Phil Mickelson","203",0,0,72.284,38,25,50.19,300.8,4.83,65.64,"1,390.833",29.79,53.62,-0.686,-0.741
"623",2018,"Phil Mickelson","203",0,0,72.284,38,25,50.19,300.8,4.83,65.64,"1,390.833",29.79,53.62,-0.686,-0.741
"624",2019,"Phil Mickelson","203",0,0,72.284,38,25,50.19,300.8,4.83,65.64,"1,390.833",29.79,53.62,-0.686,-0.741
"625",2016,"Rafa Cabrera Bello","167",0,0,72.032,38,20.61,66.17,288.9,4.76,62.13,"1,534.000",29.39,54.05,-0.918,-0.491
"626",2017,"Rafa Cabrera Bello","167",0,0,72.032,38,20.61,66.17,288.9,4.76,62.13,"1,534.000",29.39,54.05,-0.918,-0.491
"627",2018,"Rafa Cabrera Bello","167",0,0,72.032,38,20.61,66.17,288.9,4.76,62.13,"1,534.000",29.39,54.05,-0.918,-0.491
"628",2019,"Rafa Cabrera Bello","167",0,0,72.032,38,20.61,66.17,288.9,4.76,62.13,"1,534.000",29.39,54.05,-0.918,-0.491
"629",2016,"Rafael Campos","T189",2,0,71.769,36,25.25,58.33,298.4,4.55,63.89,"932.000",28.69,60.68,-0.971,-0.518
"630",2017,"Rafael Campos","T189",2,0,71.769,36,25.25,58.33,298.4,4.55,63.89,"932.000",28.69,60.68,-0.971,-0.518
"631",2018,"Rafael Campos","T189",2,0,71.769,36,25.25,58.33,298.4,4.55,63.89,"932.000",28.69,60.68,-0.971,-0.518
"632",2019,"Rafael Campos","T189",2,0,71.769,36,25.25,58.33,298.4,4.55,63.89,"932.000",28.69,60.68,-0.971,-0.518
"633",2016,"Rhein Gibson","211",0,0,72.595,38,19.33,48.31,288.8,4.67,60.82,"827.667",28.21,57.09,-2.043,-1.936
"634",2017,"Rhein Gibson","211",0,0,72.595,38,19.33,48.31,288.8,4.67,60.82,"827.667",28.21,57.09,-2.043,-1.936
"635",2018,"Rhein Gibson","211",0,0,72.595,38,19.33,48.31,288.8,4.67,60.82,"827.667",28.21,57.09,-2.043,-1.936
"636",2019,"Rhein Gibson","211",0,0,72.595,38,19.33,48.31,288.8,4.67,60.82,"827.667",28.21,57.09,-2.043,-1.936
"637",2016,"Richy Werenski","T97",2,0,71.585,54,17.36,60.71,295.5,4.48,62.76,"2,737.750",28.13,61.05,-0.082,-0.116
"638",2017,"Richy Werenski","T97",2,0,71.585,54,17.36,60.71,295.5,4.48,62.76,"2,737.750",28.13,61.05,-0.082,-0.116
"639",2018,"Richy Werenski","T97",2,0,71.585,54,17.36,60.71,295.5,4.48,62.76,"2,737.750",28.13,61.05,-0.082,-0.116
"640",2019,"Richy Werenski","T97",2,0,71.585,54,17.36,60.71,295.5,4.48,62.76,"2,737.750",28.13,61.05,-0.082,-0.116
"641",2016,"Rickie Fowler","151",0,0,71.656,50,20.63,59.77,301.1,4.71,64.33,"2,182.667",29,54.52,0.226,-0.134
"642",2017,"Rickie Fowler","151",0,0,71.656,50,20.63,59.77,301.1,4.71,64.33,"2,182.667",29,54.52,0.226,-0.134
"643",2018,"Rickie Fowler","151",0,0,71.656,50,20.63,59.77,301.1,4.71,64.33,"2,182.667",29,54.52,0.226,-0.134
"644",2019,"Rickie Fowler","151",0,0,71.656,50,20.63,59.77,301.1,4.71,64.33,"2,182.667",29,54.52,0.226,-0.134
"645",2016,"Rob Oppenheim","T117",1,0,71.723,48,20.14,65.48,285.6,4.52,62.5,"1,387.917",27.94,61.11,-0.132,-0.297
"646",2017,"Rob Oppenheim","T117",1,0,71.723,48,20.14,65.48,285.6,4.52,62.5,"1,387.917",27.94,61.11,-0.132,-0.297
"647",2018,"Rob Oppenheim","T117",1,0,71.723,48,20.14,65.48,285.6,4.52,62.5,"1,387.917",27.94,61.11,-0.132,-0.297
"648",2019,"Rob Oppenheim","T117",1,0,71.723,48,20.14,65.48,285.6,4.52,62.5,"1,387.917",27.94,61.11,-0.132,-0.297
"649",2016,"Robby Shelton","180",0,0,72.039,50,21.94,53.01,293.4,4.58,61,"2,010.167",28.1,58.97,-0.61,-0.78
"650",2017,"Robby Shelton","180",0,0,72.039,50,21.94,53.01,293.4,4.58,61,"2,010.167",28.1,58.97,-0.61,-0.78
"651",2018,"Robby Shelton","180",0,0,72.039,50,21.94,53.01,293.4,4.58,61,"2,010.167",28.1,58.97,-0.61,-0.78
"652",2019,"Robby Shelton","180",0,0,72.039,50,21.94,53.01,293.4,4.58,61,"2,010.167",28.1,58.97,-0.61,-0.78
"653",2016,"Robert MacIntyre","210",1,0,NA,NA,23.33,54.55,299.4,4.75,55.81,"1,129.667",29,56.57,-0.807,-0.948
"654",2017,"Robert MacIntyre","210",1,0,NA,NA,23.33,54.55,299.4,4.75,55.81,"1,129.667",29,56.57,-0.807,-0.948
"655",2018,"Robert MacIntyre","210",1,0,NA,NA,23.33,54.55,299.4,4.75,55.81,"1,129.667",29,56.57,-0.807,-0.948
"656",2019,"Robert MacIntyre","210",1,0,NA,NA,23.33,54.55,299.4,4.75,55.81,"1,129.667",29,56.57,-0.807,-0.948
"657",2016,"Robert Streb","134",1,1,71.457,46,20.66,58.64,290.4,4.61,63.89,"1,721.333",28.46,62.88,-0.398,-0.417
"658",2017,"Robert Streb","134",1,1,71.457,46,20.66,58.64,290.4,4.61,63.89,"1,721.333",28.46,62.88,-0.398,-0.417
"659",2018,"Robert Streb","134",1,1,71.457,46,20.66,58.64,290.4,4.61,63.89,"1,721.333",28.46,62.88,-0.398,-0.417
"660",2019,"Robert Streb","134",1,1,71.457,46,20.66,58.64,290.4,4.61,63.89,"1,721.333",28.46,62.88,-0.398,-0.417
"661",2016,"Roger Sloan","T123",0,0,70.822,46,24.11,59.32,295.1,4.63,68.6,"1,336.750",29.15,62.69,0.849,0.608
"662",2017,"Roger Sloan","T123",0,0,70.822,46,24.11,59.32,295.1,4.63,68.6,"1,336.750",29.15,62.69,0.849,0.608
"663",2018,"Roger Sloan","T123",0,0,70.822,46,24.11,59.32,295.1,4.63,68.6,"1,336.750",29.15,62.69,0.849,0.608
"664",2019,"Roger Sloan","T123",0,0,70.822,46,24.11,59.32,295.1,4.63,68.6,"1,336.750",29.15,62.69,0.849,0.608
"665",2016,"Rory McIlroy","47",4,0,70.554,41,19.82,57.2,318.2,4.54,65.35,"1,545.000",28.76,57.81,1.064,1.103
"666",2017,"Rory McIlroy","47",4,0,70.554,41,19.82,57.2,318.2,4.54,65.35,"1,545.000",28.76,57.81,1.064,1.103
"667",2018,"Rory McIlroy","47",4,0,70.554,41,19.82,57.2,318.2,4.54,65.35,"1,545.000",28.76,57.81,1.064,1.103
"668",2019,"Rory McIlroy","47",4,0,70.554,41,19.82,57.2,318.2,4.54,65.35,"1,545.000",28.76,57.81,1.064,1.103
"669",2016,"Rory Sabbatini","T85",1,0,71.144,51,21.76,60.03,288.3,4.7,65.14,"2,239.417",28.94,52.19,-0.251,0.046
"670",2017,"Rory Sabbatini","T85",1,0,71.144,51,21.76,60.03,288.3,4.7,65.14,"2,239.417",28.94,52.19,-0.251,0.046
"671",2018,"Rory Sabbatini","T85",1,0,71.144,51,21.76,60.03,288.3,4.7,65.14,"2,239.417",28.94,52.19,-0.251,0.046
"672",2019,"Rory Sabbatini","T85",1,0,71.144,51,21.76,60.03,288.3,4.7,65.14,"2,239.417",28.94,52.19,-0.251,0.046
"673",2016,"Russell Henley","20",4,0,69.645,49,19.77,66.98,290.1,4.62,71.62,"1,768.917",28.89,66.38,1.18,1.469
"674",2017,"Russell Henley","20",4,0,69.645,49,19.77,66.98,290.1,4.62,71.62,"1,768.917",28.89,66.38,1.18,1.469
"675",2018,"Russell Henley","20",4,0,69.645,49,19.77,66.98,290.1,4.62,71.62,"1,768.917",28.89,66.38,1.18,1.469
"676",2019,"Russell Henley","20",4,0,69.645,49,19.77,66.98,290.1,4.62,71.62,"1,768.917",28.89,66.38,1.18,1.469
"677",2016,"Russell Knox","89",2,0,71.032,56,20,64.36,291.1,4.64,70.24,"1,944.417",29.55,61,0.518,0.059
"678",2017,"Russell Knox","89",2,0,71.032,56,20,64.36,291.1,4.64,70.24,"1,944.417",29.55,61,0.518,0.059
"679",2018,"Russell Knox","89",2,0,71.032,56,20,64.36,291.1,4.64,70.24,"1,944.417",29.55,61,0.518,0.059
"680",2019,"Russell Knox","89",2,0,71.032,56,20,64.36,291.1,4.64,70.24,"1,944.417",29.55,61,0.518,0.059
"681",2016,"Ryan Armour","100",1,0,71.228,48,22.96,70.15,279.8,4.65,64.47,"1,815.000",28.69,58.63,-0.517,-0.165
"682",2017,"Ryan Armour","100",1,0,71.228,48,22.96,70.15,279.8,4.65,64.47,"1,815.000",28.69,58.63,-0.517,-0.165
"683",2018,"Ryan Armour","100",1,0,71.228,48,22.96,70.15,279.8,4.65,64.47,"1,815.000",28.69,58.63,-0.517,-0.165
"684",2019,"Ryan Armour","100",1,0,71.228,48,22.96,70.15,279.8,4.65,64.47,"1,815.000",28.69,58.63,-0.517,-0.165
"685",2016,"Ryan Brehm","96",0,0,71.537,32,22.68,55.58,310.7,4.54,67.36,"592.083",29.38,54.26,-1.259,-1.745
"686",2017,"Ryan Brehm","96",0,0,71.537,32,22.68,55.58,310.7,4.54,67.36,"592.083",29.38,54.26,-1.259,-1.745
"687",2018,"Ryan Brehm","96",0,0,71.537,32,22.68,55.58,310.7,4.54,67.36,"592.083",29.38,54.26,-1.259,-1.745
"688",2019,"Ryan Brehm","96",0,0,71.537,32,22.68,55.58,310.7,4.54,67.36,"592.083",29.38,54.26,-1.259,-1.745
"689",2016,"Ryan Moore","160",0,0,71.778,24,20,72.62,287.4,4.72,64.81,"1,039.333",29.25,60.53,0.563,-0.229
"690",2017,"Ryan Moore","160",0,0,71.778,24,20,72.62,287.4,4.72,64.81,"1,039.333",29.25,60.53,0.563,-0.229
"691",2018,"Ryan Moore","160",0,0,71.778,24,20,72.62,287.4,4.72,64.81,"1,039.333",29.25,60.53,0.563,-0.229
"692",2019,"Ryan Moore","160",0,0,71.778,24,20,72.62,287.4,4.72,64.81,"1,039.333",29.25,60.53,0.563,-0.229
"693",2016,"Ryan Palmer","T17",4,0,70.623,53,25.42,59.71,303.5,4.37,69.56,"2,195.333",28.28,64.23,0.889,1.115
"694",2017,"Ryan Palmer","T17",4,0,70.623,53,25.42,59.71,303.5,4.37,69.56,"2,195.333",28.28,64.23,0.889,1.115
"695",2018,"Ryan Palmer","T17",4,0,70.623,53,25.42,59.71,303.5,4.37,69.56,"2,195.333",28.28,64.23,0.889,1.115
"696",2019,"Ryan Palmer","T17",4,0,70.623,53,25.42,59.71,303.5,4.37,69.56,"2,195.333",28.28,64.23,0.889,1.115
