Name,Gender,Course,Round,Hole,Par,Score,FIR,GIR,Approach.Dist,Putts,Exp_Putts,strokesgained,PuttLength
Player 21,Female,PGA National - Palmer,Tournament,3,4,4,Missed,Hit,151-175 yards,2,1.891,-0.109,21
Player 11,Male,Meadville Country Club,Tournament,17,3,3,Not Applicable (PAR 3),Hit,201-225 yards,2,1.891,-0.109,21
Player 3,Male,Columbus Country Club,Tournament,3,4,4,Hit,Hit,101-125 yards,2,1.891,-0.109,21
Player 11,Male,San Destin Resort - Raven,Tournament,1,4,4,Hit,Hit,101-125 yards,2,1.891,-0.109,21
Player 3,Male,Columbus Country Club,Tournament,15,5,5,Hit,Miss,Less than 50 yards,1,1.891,0.891,21
Player 3,Male,Wigwam Gold Course,Tournament,10,5,6,Missed,Miss,126-150 yards,2,1.891,-0.109,21
Player 11,Male,Meadville Country Club,Tournament,18,4,4,Missed,Hit,76-100 yards,2,1.891,-0.109,21
Player 11,Male,Meadville Country Club,Tournament,3,5,5,Hit,Hit,51-75 yards,2,1.891,-0.109,21
Player 16,Female,Longue Vue Club,Qualifying,16,3,2,Not Applicable (PAR 3),Hit,101-125 yards,1,1.891,0.891,21
Player 16,Female,Meadville Country Club,Tournament,3,5,5,Hit,Hit,Less than 50 yards,2,1.903,-0.097,22
Player 8,Male,Longue Vue Club,Qualifying,6,4,5,Hit,Hit,126-150 yards,3,1.903,-1.097,22
Player 16,Female,Longue Vue Club,Qualifying,13,4,4,Missed,Hit,101-125 yards,2,1.903,-0.097,22
Player 4,Male,Columbus Country Club,Tournament,7,3,3,Not Applicable (PAR 3),Hit,176-200 yards,2,1.903,-0.097,22
Player 6,Male,San Destin Resort - Raven,Tournament,13,4,4,Hit,Hit,126-150 yards,2,1.914,-0.086,23
Player 11,Male,Columbus Country Club,Tournament,13,3,3,Not Applicable (PAR 3),Hit,126-150 yards,2,1.914,-0.086,23
Player 3,Male,PGA National - Champions,Tournament,18,5,6,Missed,Miss,201-225 yards,2,1.914,-0.086,23
Player 3,Male,Wigwam Gold Course,Tournament,9,4,3,Hit,Hit,126-150 yards,1,1.914,0.914,23
Player 8,Male,Sedgefield Country Club - Dye Course,Tournament,13,4,4,Hit,Hit,126-150 yards,2,1.914,-0.086,23
Player 7,Male,Avalon Lakes Golf Club,Qualifying,14,5,6,Missed,Miss,Less than 50 yards,2,1.914,-0.086,23
Player 16,Female,Nemacolin Resort - Shepards Rock,Qualifying,2,4,7,Hit,Miss,Less than 50 yards,4,1.924,-2.076,24
Player 11,Male,Sedgefield Country Club - Dye Course,Tournament,2,3,3,Not Applicable (PAR 3),Hit,151-175 yards,2,1.924,-0.076,24
Player 3,Male,Avalon Lakes Golf Club,Qualifying,4,3,3,Not Applicable (PAR 3),Hit,151-175 yards,2,1.924,-0.076,24
Player 16,Female,Nemacolin Resort - Shepards Rock,Qualifying,5,3,4,Not Applicable (PAR 3),Hit,176-200 yards,2,1.924,-0.076,24
Player 13,Male,Longue Vue Club,Qualifying,2,4,4,Hit,Hit,Less than 50 yards,2,1.924,-0.076,24
Player 11,Male,San Destin Resort - Raven,Tournament,13,4,4,Hit,Hit,176-200 yards,2,1.934,-0.066,25
Player 12,Male,Meadville Country Club,Tournament,7,4,4,Missed,Hit,126-150 yards,2,1.934,-0.066,25
Player 6,Male,Longue Vue Club,Qualifying,1,4,4,Missed,Hit,151-175 yards,2,1.934,-0.066,25
Player 3,Male,Indiana Country Club,Qualifying,15,3,3,Not Applicable (PAR 3),Hit,201-225 yards,2,1.934,-0.066,25
Player 8,Male,Indiana Country Club,Qualifying,8,4,4,Hit,Hit,101-125 yards,2,1.934,-0.066,25
Player 5,Male,Avalon Lakes Golf Club,Qualifying,16,3,3,Not Applicable (PAR 3),Hit,201-225 yards,2,1.934,-0.066,25
Player 6,Male,Pittsburgh Field Club,Qualifying,7,4,4,Missed,Hit,151-175 yards,2,1.934,-0.066,25
Player 12,Male,Longue Vue Club,Qualifying,4,5,5,Missed,Miss,201-225 yards,2,1.934,-0.066,25
Player 11,Male,Columbus Country Club,Tournament,1,4,4,Hit,Hit,126-150 yards,2,1.934,-0.066,25
Player 8,Male,Sedgefield Country Club - Dye Course,Tournament,1,4,5,Hit,Hit,126-150 yards,3,1.934,-1.066,25
Player 10,Male,Longue Vue Club,Qualifying,5,3,4,Not Applicable (PAR 3),Hit,151-175 yards,3,1.934,-1.066,25
